transaction_id,quarter_date,region_id,firm_id,baseline_units,unit_cost,baseline_price,baseline_revenue,baseline_profit,max_allowed_price,policy_price,pct_change_price,pct_change_units,policy_units,policy_revenue,policy_profit,pct_change_profit
1,2024-Q1,North,Firm A,93,10.77,13.9,1292.7,291.0900000000001,13.462499999999999,13.462499999999999,-0.03147482014388502,0.023606115107913765,95.19536870503597,1281.5676511915467,256.3135302383093,-0.1194698195118032
2,2024-Q1,North,Firm B,188,10.06,13.27,2494.7599999999998,603.4799999999998,12.575000000000001,12.575000000000001,-0.0523737754333081,0.03928033157498108,195.38470233609644,2456.962631876413,491.39252637528267,-0.1857351919280128
3,2024-Q1,North,Firm C,338,9.87,12.71,4295.9800000000005,959.9200000000005,12.337499999999999,12.337499999999999,-0.029307631785995457,0.02198072383949659,345.42948465774987,4261.736266964988,852.3472533929976,-0.11206428307255073
4,2024-Q1,North,Firm D,376,9.88,12.76,4797.76,1082.8799999999997,12.350000000000001,12.350000000000001,-0.03213166144200614,0.024098746081504606,385.0611285266457,4755.504937304075,951.1009874608151,-0.12169308929815364
5,2024-Q1,North,Firm E,404,8.87,11.25,4545.0,961.5200000000003,11.087499999999999,11.087499999999999,-0.01444444444444457,0.010833333333333427,408.3766666666667,4527.8762916666665,905.5752583333332,-0.05818364845938423
6,2024-Q1,South,Firm A,50,10.5,12.36,618.0,92.99999999999997,13.125,12.36,0.0,0.0,50.0,618.0,92.99999999999997,0.0
7,2024-Q1,South,Firm B,129,11.42,14.05,1812.45,339.2700000000001,14.275,14.05,0.0,0.0,129.0,1812.45,339.2700000000001,0.0
8,2024-Q1,South,Firm C,303,9.11,11.2,3393.6,633.27,11.3875,11.2,0.0,0.0,303.0,3393.6,633.27,0.0
9,2024-Q1,South,Firm D,405,9.33,12.13,4912.650000000001,1134.0000000000002,11.6625,11.6625,-0.03854080791426225,0.028905605935696688,416.70677040395714,4859.84270983615,971.9685419672298,-0.14288488362678162
10,2024-Q1,South,Firm E,469,10.02,12.72,5965.68,1266.3000000000004,12.524999999999999,12.524999999999999,-0.015330188679245444,0.011497641509434083,474.3923938679246,5941.764733195755,1188.3529466391508,-0.06155496593291447
11,2024-Q1,East,Firm A,192,10.24,11.96,2296.32,330.2400000000001,12.8,11.96,0.0,0.0,192.0,2296.32,330.2400000000001,0.0
12,2024-Q1,East,Firm B,241,9.27,11.6,2795.6,561.53,11.587499999999999,11.587499999999999,-0.0010775862068966436,0.0008081896551724827,241.19477370689654,2794.8444403286635,558.9688880657325,-0.004560952993192708
13,2024-Q1,East,Firm C,202,9.19,11.67,2357.34,500.9600000000001,11.487499999999999,11.487499999999999,-0.01563838903170531,0.011728791773778984,204.36921593830334,2347.6913680912594,469.5382736182518,-0.06272302455634834
14,2024-Q1,East,Firm D,436,10.39,13.24,5772.64,1242.6,12.9875,12.9875,-0.019070996978851926,0.014303247734138946,442.2362160120846,5743.542855456949,1148.7085710913898,-0.07556046105634165
15,2024-Q1,East,Firm E,484,9.07,11.43,5532.12,1142.2399999999998,11.3375,11.3375,-0.008092738407698983,0.006069553805774237,486.9376640419947,5520.6557660761155,1104.131153215223,-0.03336325709551118
16,2024-Q1,West,Firm A,76,11.09,13.71,1041.96,199.12000000000006,13.8625,13.71,0.0,0.0,76.0,1041.96,199.12000000000006,0.0
17,2024-Q1,West,Firm B,111,10.51,12.84,1425.24,258.63,13.1375,12.84,0.0,0.0,111.0,1425.24,258.63,0.0
18,2024-Q1,West,Firm C,266,10.74,14.04,3734.64,877.7999999999997,13.425,13.425,-0.043803418803418696,0.03285256410256402,274.73878205128204,3688.3681490384615,737.6736298076925,-0.15963359557109513
19,2024-Q1,West,Firm D,446,9.58,12.1,5396.599999999999,1123.9199999999998,11.975,11.975,-0.010330578512396695,0.007747933884297521,449.45557851239676,5382.230552685951,1076.44611053719,-0.04223956283615373
20,2024-Q1,West,Firm E,516,11.03,14.1,7275.599999999999,1584.1200000000001,13.7875,13.7875,-0.022163120567375887,0.016622340425531915,524.5771276595744,7232.607147606383,1446.5214295212768,-0.08686120399889107
21,2024-Q2,North,Firm A,50,9.7,12.24,612.0,127.00000000000004,12.125,12.125,-0.009395424836601324,0.0070465686274509935,50.35232843137255,610.5219822303922,122.10439644607847,-0.03854805947969742
22,2024-Q2,North,Firm B,267,10.6,13.65,3644.55,814.3500000000001,13.25,13.25,-0.02930402930402933,0.021978021978021997,272.86813186813185,3615.502747252747,723.1005494505495,-0.11205188254368595
23,2024-Q2,North,Firm C,318,10.14,12.96,4121.280000000001,896.7600000000001,12.675,12.675,-0.02199074074074075,0.016493055555555563,323.2447916666667,4097.127734375001,819.4255468750001,-0.08623762559101651
24,2024-Q2,North,Firm D,476,10.63,14.39,6849.64,1789.76,13.287500000000001,13.287500000000001,-0.07661570535093809,0.05746177901320357,503.35180681028487,6688.287132991661,1337.6574265983324,-0.2526051389022369
25,2024-Q2,North,Firm E,369,11.31,14.75,5442.75,1269.36,14.137500000000001,14.137500000000001,-0.04152542372881349,0.031144067796610116,380.4921610169491,5379.207926377118,1075.8415852754238,-0.15245353148403618
26,2024-Q2,South,Firm A,85,10.73,12.1,1028.5,116.44999999999993,13.412500000000001,12.1,0.0,0.0,85.0,1028.5,116.44999999999993,0.0
27,2024-Q2,South,Firm B,189,10.94,14.31,2704.59,636.9300000000002,13.674999999999999,13.674999999999999,-0.044374563242487876,0.03328092243186591,195.29009433962267,2670.5920400943396,534.1184080188679,-0.16141741161686887
28,2024-Q2,South,Firm C,274,10.01,12.36,3386.64,643.8999999999999,12.5125,12.36,0.0,0.0,274.0,3386.64,643.8999999999999,0.0
29,2024-Q2,South,Firm D,445,10.92,13.71,6100.950000000001,1241.5500000000004,13.65,13.65,-0.004376367614879686,0.0032822757111597646,446.46061269146605,6094.187363238511,1218.8374726477025,-0.018293687207360076
30,2024-Q2,South,Firm E,525,10.73,14.44,7581.0,1947.7499999999995,13.412500000000001,13.412500000000001,-0.07115650969529073,0.05336738227146805,553.0178756925206,7417.352257725934,1483.4704515451872,-0.23836711510964573
31,2024-Q2,East,Firm A,64,10.4,12.49,799.36,133.76,13.0,12.49,0.0,0.0,64.0,799.36,133.76,0.0
32,2024-Q2,East,Firm B,126,10.89,13.64,1718.64,346.5,13.6125,13.6125,-0.002016129032258054,0.0015120967741935405,126.19052419354838,1717.7685105846774,343.5537021169355,-0.008503024193548389
33,2024-Q2,East,Firm C,300,10.47,12.48,3744.0,602.9999999999999,13.0875,12.48,0.0,0.0,300.0,3744.0,602.9999999999999,0.0
34,2024-Q2,East,Firm D,378,10.38,12.89,4872.42,948.78,12.975000000000001,12.89,0.0,0.0,378.0,4872.42,948.78,0.0
35,2024-Q2,East,Firm E,491,10.98,15.22,7473.02,2081.84,13.725000000000001,13.725000000000001,-0.0982260183968462,0.07366951379763464,527.1717312746387,7235.432011744417,1447.0864023488837,-0.3049002793928047
36,2024-Q2,West,Firm A,108,10.86,13.22,1427.76,254.88000000000014,13.575,13.22,0.0,0.0,108.0,1427.76,254.88000000000014,0.0
37,2024-Q2,West,Firm B,104,10.64,13.22,1374.88,268.32,13.3,13.22,0.0,0.0,104.0,1374.88,268.32,0.0
38,2024-Q2,West,Firm C,423,10.5,13.38,5659.740000000001,1218.2400000000002,13.125,13.125,-0.01905829596412562,0.014293721973094215,429.0462443946189,5631.231957679373,1126.2463915358746,-0.07551353465994022
